fieldName,emptyCount,nonEmptyCount,uniqueValueCount,possiblePrimaryKey,possiblyInteger,possiblyFloatingPoint,sampleValues
basisOfRecord,6976,90344,5,false,false,false,"HumanObservation(*90092), Image(*18), MachineObservation(*2), MaterialSample(*24), PreservedSpecimen(*208)"
"dcterms:bibliographicCitation",145941,39,39,false,false,false,"B16857(*1), B34208(*1), B34309(*1), B47015(*1), B47639(*1), B47674(*1), B47677(*1), B50191(*1), B50985(*1), B50986(*1), B50987(*1), B51122(*1), B51770(*1), B51771(*1), B51772(*1), B52900(*1), B57378(*1), E02789(*1), E02792(*1), E02797(*1), E09169(*1), E12098(*1), E12099(*1), E12100(*1), E12101(*1), E13546(*1), G27282(*1), G28085(*1), G28086(*1), G28087(*1), G28208(*1), G28856(*1), G28857(*1), G28858(*1), G29938(*1), G39374(*1), G7788(*1), G7881(*1), X06834(*1)"
"dcterms:bibliographicCitation",145941,39,39,false,false,false,"B16857(*1), B34208(*1), B34309(*1), B47015(*1), B47639(*1), B47674(*1), B47677(*1), B50191(*1), B50985(*1), B50986(*1), B50987(*1), B51122(*1), B51770(*1), B51771(*1), B51772(*1), B52900(*1), B57378(*1), E02789(*1), E02792(*1), E02797(*1), E09169(*1), E12098(*1), E12099(*1), E12100(*1), E12101(*1), E13546(*1), G27282(*1), G28085(*1), G28086(*1), G28087(*1), G28208(*1), G28856(*1), G28857(*1), G28858(*1), G29938(*1), G39374(*1), G7788(*1), G7881(*1), X06834(*1)"
collectionID,48611,49,2,false,false,false,"urn:lsid:biocol.org:col:34932(*39), urn:lsid:biocol.org:col:34978(*10)"
collectionCode,48150,510,12,false,false,false,"BDRS(*73), Birds(*17), EBIRD(*95), EBIRD_CAN(*3), Eggs(*9), GeneticSamples(*12), OP(*141), Observations(*27), Ornithology(*78), RE(*7), SU(*47), Sounds(*1)"
dataGeneralizations,48660,0,0,false,false,false,
datasetID,48332,328,22,false,false,false,"OP(*152), Ornithology(*10), RE(*7), SU(*47), urn:anwc.csiro.au:collections:10(*1), urn:anwc.csiro.au:collections:13(*1), urn:anwc.csiro.au:collections:131(*2), urn:anwc.csiro.au:collections:16(*3), urn:anwc.csiro.au:collections:18(*4), urn:anwc.csiro.au:collections:25(*1), urn:anwc.csiro.au:collections:4(*11), urn:anwc.csiro.au:collections:68(*6), urn:anwc.csiro.au:collections:73(*2), urn:anwc.csiro.au:collections:74(*8), urn:lsid:bdrs.ala.org.au:Survey:267(*40), urn:lsid:bdrs.ala.org.au:Survey:286(*3), urn:lsid:bdrs.ala.org.au:Survey:289(*6), urn:lsid:bdrs.ala.org.au:Survey:329(*7), urn:lsid:bdrs.ala.org.au:Survey:35(*1), urn:lsid:bdrs.ala.org.au:Survey:45(*10), urn:lsid:bdrs.ala.org.au:Survey:69(*4), urn:lsid:bdrs.ala.org.au:Survey:72(*2)"
datasetName,95617,1703,26,false,false,false,"02. Multi-species Survey(*2), 2004 Northern WA and NT September and October(*8), 2004 Southwest WA May and June(*2), 2006 Cape York Peninsula Queensland October and November(*6), 2015 Unprotected Areas Cape York Peninsula Queensland July(*2), ANWC general pre-Nagoya (12/10/2014)(*11), Avian Knowledge Network(*98), Bathing Birds(*6), Bird Record Sheet(*7), Current Surveys(*4), Fauna Survey(*22), Kershaw, J.(*1), Kutt - NGRMG(*2), Miscellaneous Fauna Data(*1392), Molesworth, J.M.(*1), Neil Rankin Surveys(*10), Panboola Bioblitz 2014 Survey(*3), Panboola Wetland Bird Surveys(*40), Ragless, G.B.(*3), Seabirds and Shorebirds(*32), Seton, D.H.C.(*4), Species Record Form(*1), Stewart, D. Analogue Collection(*1), Waterbirds(*18), iNaturalist observations(*11), iNaturalist research-grade observations(*16)"
dynamicProperties,48660,0,0,false,false,false,
informationWithheld,48660,0,0,false,false,false,
institutionID,48193,467,11,false,false,false,"1(*185), 120(*13), 1267(*2), 1658(*1), 1821(*9), 1881(*183), 1882(*13), 199(*26), 220(*5), 2841(*20), NMV(*10)"
institutionCode,47884,776,21,false,false,false,"AM(*21), ANWC(*39), AUDCLO(*95), BDRS(*73), BSC-EOC(*3), Department of Environment and Heritage Protection(*183), Department of Environment and Resource Management(*13), Department of National Parks, Sport and Racing(*13), Department of Science, Information Technology and Innovation(*9), EcoSmart Ecology(*20), Lockyer Catchment Association Inc.(*1), NMV(*10), Northern Gulf Resource Management Group(*2), Private Individual(*26), QVMAG(*10), Queensland Department of Environment and Resources Management (DERM)(*2), Queensland Naturalists' Club(*2), Queensland Parks and Wildlife Service(*185), SAMA(*37), WBM Oceanics Australia(*5), iNaturalist(*27)"
dcterms:language,48648,12,1,false,false,false,"en(*12)"
dcterms:license,48643,17,3,false,false,false,"http://creativecommons.org/licenses/by-nc/4.0/(*3), http://creativecommons.org/licenses/by/4.0/(*4), https://creativecommons.org/publicdomain/zero/1.0/legalcode(*10)"
dcterms:modified,96751,569,31,false,false,false,"19/04/2016 11:56:43 AM(*1), 2010-10-29(*92), 2010-10-31(*6), 2010-12-13(*2), 2011-01-12(*4), 2011/12/5(*2), 2012-02-19(*355), 2012-11-14(*1), 2013/10/22(*10), 2013/10/23(*6), 2013/2/11(*1), 2013/2/12(*1), 2014-07-01(*5), 2015-09-14(*1), 2015-11-09(*1), 2016-01-25(*1), 2016-03-03(*8), 2016-03-04(*3), 2016-06-17(*1), 2016-06-23(*9), 2016-06-26(*1), 2016-06-28(*1), 2016-07-21(*1), 2016-11-30(*37), 2016-12-17(*1), 2016/8/11(*1), 2017-03-01(*1), 2017-03-25(*1), 2017-03-26(*13), 2017-03-31(*1), 2017-04-07(*1)"
ownerInstitutionCode,48232,428,10,false,false,false,"DERM(*13), DSITI(*9), EHP(*183), Flora and Fauna (North), DLRM(*3), NMV(*10), NPSR(*13), QNC(*2), QPWS(*185), Unknown(*5), WBM(*5)"
