fieldName,emptyCount,nonEmptyCount,uniqueValueCount,possiblePrimaryKey,possiblyInteger,possiblyFloatingPoint,sampleValues
basisOfRecord,0,826,3,false,false,false,"HumanObservation(*798), Image(*8), PreservedSpecimen(*20)"
"dcterms:bibliographicCitation",826,0,0,false,false,false,
"dcterms:bibliographicCitation",826,0,0,false,false,false,
collectionID,412,1,1,false,false,false,"urn:lsid:biocol.org:col:34978(*1)"
collectionCode,400,13,3,false,false,false,"Entomology(*2), Invertebrates(*8), Observations(*3)"
dataGeneralizations,413,0,0,false,false,false,
datasetID,412,1,1,false,false,false,"Entomology(*1)"
datasetName,410,3,2,false,false,false,"iNaturalist observations(*2), iNaturalist research-grade observations(*1)"
dynamicProperties,413,0,0,false,false,false,
informationWithheld,413,0,0,false,false,false,
institutionID,412,1,1,false,false,false,"NMV(*1)"
institutionCode,400,13,4,false,false,false,"AM(*1), NMV(*1), QVMAG(*8), iNaturalist(*3)"
dcterms:language,412,1,1,false,false,false,"en(*1)"
dcterms:license,412,1,1,false,false,false,"https://creativecommons.org/publicdomain/zero/1.0/legalcode(*1)"
dcterms:modified,744,82,16,false,false,false,"2012-02-19(*65), 2012/3/5(*1), 2016-01-26(*1), 2016-03-07(*1), 2016-05-03(*1), 2016-06-11(*1), 2016-07-12(*1), 2016-07-13(*1), 2016-07-22(*1), 2016-07-29(*2), 2017-03-01(*1), 2017-03-09(*1), 2017-03-11(*1), 2017-03-15(*1), 2017-04-01(*2), 2017-04-07(*1)"
ownerInstitutionCode,412,1,1,false,false,false,"NMV(*1)"
basisOfRecord,0,826,3,false,false,false,"HumanObservation(*798), Image(*8), PreservedSpecimen(*20)"
dcterms:references,413,0,0,false,false,false,
dcterms:accessRights,406,7,5,false,false,false,"Attribution License(*2), Attribution-NonCommercial-ShareAlike License(*2), Â© Scott Mills some rights reserved(*1), Â© Tony Ladson some rights reserved(*1), Â© spinner some rights reserved(*1)"
dcterms:rightsHolder,409,4,4,false,false,false,"Museum Victoria(*1), Scott Mills(*1), Tony Ladson(*1), spinner(*1)"
dcterms:type,825,1,1,false,false,false,"PhysicalObject(*1)"
associatedMedia,326,87,55,false,false,false,"/data/biocache-media/dr360/4344/ad9be846-1920-4aa0-a315-b80f49bfc9e1/5291096641_326d2d73c9.jpg(*1), /data/biocache-media/dr360/7421/95f14166-0344-464e-956e-c22c74675232/7208757224_8abc5f4927.jpg(*1), 0_image_5b0991be-cba7-4b57-9eb9-bb057b0c0154.jpg;1_image_ee4ac162-1e46-480b-a1a8-55e70f680092.jpg(*1), 0_image_6ab4e450-2bf9-46c7-b96b-2eb98951fecd.jpg(*1), 0_image_8859ec1b-7449-4647-8b9d-7e8c0441b6c0.jpg;1_image_72bb0a4a-6301-46ea-a582-e03af359966f.jpg(*1), 0_image_bae9672d-6bb7-4832-9b86-cd0876d44be9.jpg(*1), 0_image_ef730b03-edbb-4f70-be3b-10683a30d4b3.jpg(*1), 1.jpeg(*1), 1.jpeg;2.jpeg(*4), 1.jpeg;2.jpeg;3.jpeg(*2), 1.jpeg;2.jpeg;3.jpeg;4.jpeg;5.jpeg(*2), 1.jpeg;2.jpeg;3.jpeg;4.jpeg;5.jpeg;6.jpeg(*1), 112414-Full1024.jpg(*1), 117139-Full1024.jpg(*1), 130067-Full1024.jpg(*1), 130838-Full1024.jpg(*1), 136.JPG(*1), 142162-Full1024.jpg(*1), 144698-Full1024.jpg(*1), 150787-Full1024.jpg(*1), 168008-Full1024.jpg(*1), 1880-Full1024.jpg(*1), 2012-09-23-600.jpg(*1), 20130427_114421.jpg(*1), 20130505_112009_1_.jpg(*1), 20130505_141442.jpg(*1), 290106.jpg(*1), 31526-Full1024.jpg(*1), 44539-Full1024.jpg(*1), 44706-Full1024.jpg(*1), 44902-Full1024.jpg(*1), 45164-Full1024.jpg(*1), 5291096641_326d2d73c9.jpg(*1), 58e8c602ed2a8944100000c9.jpeg(*1), 7208757224_8abc5f4927.jpg(*1), 73723-Full1024.jpg(*1), 77079-Full1024.jpg(*1), 77448-Full1024.jpg(*1), 78328-Full1024.jpg(*1), 89809-Full1024.jpg(*1), 95426-Full1024.jpg(*1), DSC00451.JPG(*1), IMG_1251.jpg(*1), Image0088.jpg(*1), Wasp.jpeg(*1), Wasp_around_lemon_tree.jpg(*1), Wasp_in_pink_flower.png(*1), Wasp_on_freshly_cut_grass.jpg(*1), image.jpg(*8), image0.jpg;image1.jpg(*1), image0.jpg;image1.jpg;image2.jpg;image3.jpg(*1), image7758.jpg(*1), no-filename(*21), original.jpg(*1), original.jpg;original.jpg;original.jpg;original.jpg;original.jpg;original.jpg(*1)"
associatedReferences,413,0,0,false,false,false,
associatedSequences,413,0,0,false,false,false,
associatedTaxa,413,0,0,false,false,false,
behavior,142,271,3,false,false,false,"Courting or mating(*11), Other(*17), Presence(*243)"
