fieldName,emptyCount,nonEmptyCount,uniqueValueCount,possiblePrimaryKey,possiblyInteger,possiblyFloatingPoint,sampleValues
"http://rs.tdwg.org/dwc/terms/acceptedNameUsage",12847,1,1,false,false,false,"Acacia longifolia subsp. sophorae (LabillardiÃ¨re) Court(*1)"
"http://purl.org/dc/terms/accessRights",12841,7,2,false,false,false,"Usos no comerciales Ãºnicamente(*5), http://www.vertnet.org/resources/norms.html(*2)"
"http://rs.tdwg.org/dwc/terms/associatedTaxa",12839,9,7,false,false,false,"ObservedSpecies: Abutilon darwinii x Abutilon pictum; Salix cinerea L.(*1), ObservedSpecies: Acacia dealbata Link; Eucalyptus perriniana Rodway; Eucalyptus kitsoniana Maiden; Agapanthus orientalis F.M.Leight.(*1), ObservedSpecies: Acacia sophorae (Labill.) R.Br.(*1), ObservedSpecies: Ammophila arenaria (L.) Link(*3), ObservedSpecies: Ehrharta erecta Lam.; Quercus robur L.; Ulmus Ã—hollandica Mill.(*1), ObservedSpecies: Hakea Schrad. & J.C.Wendl.; Leptospermum J.R.Forst. & G.Forst.(*1), ObservedSpecies: Mandevilla laxa (Ruiz & Pav.) Woodson; Pyrus L.(*1)"
"http://rs.tdwg.org/dwc/terms/basisOfRecord",0,12848,5,false,false,false,"HUMAN_OBSERVATION(*9780), LIVING_SPECIMEN(*1), OBSERVATION(*4), PRESERVED_SPECIMEN(*3057), UNKNOWN(*6)"
"http://purl.org/dc/terms/bibliographicCitation",12834,14,14,false,false,false,"Acacia longifolia (UBC V201436)(*1), MT00207383(*1), http://www.tropicos.org/Specimen/100494174(*1), http://www.tropicos.org/Specimen/100494176(*1), http://www.tropicos.org/Specimen/100615209(*1), http://www.tropicos.org/Specimen/100756138(*1), http://www.tropicos.org/Specimen/100818507(*1), http://www.tropicos.org/Specimen/1688625(*1), http://www.tropicos.org/Specimen/2344224(*1), http://www.tropicos.org/Specimen/2877522(*1), http://www.tropicos.org/Specimen/2877640(*1), http://www.tropicos.org/Specimen/2877817(*1), http://www.tropicos.org/Specimen/74021(*1), http://www.tropicos.org/Specimen/947913(*1)"
"http://rs.tdwg.org/dwc/terms/catalogNumber",0,12848,12829,false,false,false,"AD-C 33212B(*1), CBG 8317432.1(*1), HO 514394(*1), MEL 1500563A(*1), MEL 1500564A(*1), OPP651621-7(*1), RVPO29832-130520(*1), RVPU29833-29427(*1), SBCAI0027001(*1), SIXRI0091080(*1), SIXRI0835197(*1), SIXRI0835198(*1), SPJGI3469832(*1), SPJGI3937766(*1), SPJGI3950720(*1), SPJGI4037981(*1), SPJGI4037986(*1), SPJGI4301856(*1), SPJGI5157624(*1), SUP15354-62(*1), ..."
"http://rs.tdwg.org/dwc/terms/class",0,12848,1,false,false,false,"Magnoliopsida(*12848)"
classkey,0,12848,1,false,true,true,"220(*12848)"
"http://rs.tdwg.org/dwc/terms/collectionCode",2624,10224,90,false,false,false,"AD-C(*4), Aran(*1), Botany(*113), CANB(*212), CEPEC(*1), CHR(*23), DS(*2), EMMA(*5), FUEL(*1), FURB(*2), HBC(*2), HERBMG(*1), HO(*139), HUCS(*3), HerbarioSEV(*5), MA(*32), MELU(*32), UPCB(*5), VAL(*2), vascular plants(*1), ..."
"http://rs.tdwg.org/dwc/terms/collectionID",12137,711,8,false,false,false,"Registro Nacional de Colecciones: 27(*1), c9d06ad2-6369-47dd-9372-ade1a5055096(*168), ca77be98-2a59-4aa9-bfc1-5ea615f2e6b7(*1), e4b00ec9-6c79-46c6-a6ed-818742707395(*523), http://biocol.org/urn:lsid:biocol.org:col:15670(*4), http://biocol.org/urn:lsid:biocol.org:col:15859(*12), urn:lsid:biocol.org:col:14437(*1), urn:lsid:biocol.org:col:15106(*1)"
"http://rs.tdwg.org/dwc/terms/continent",12181,667,6,false,false,false,"AFRICA(*10), ASIA(*2), EUROPE(*539), NORTH_AMERICA(*19), OCEANIA(*79), SOUTH_AMERICA(*18)"
"http://rs.tdwg.org/dwc/terms/coordinatePrecision",6687,6161,11,false,false,true,"0(*1), 0.000278(*11), 0.001667(*1), 0.01667(*13), 1.00E-09(*6128), 10(*1), 15(*1), 2.78E-05(*2), 2.78E-06(*1), 2.78E-07(*1), 20(*1)"
"http://rs.tdwg.org/dwc/terms/coordinateUncertaintyInMeters",1685,11163,129,false,true,true,"10(*1522), 11(*6), 110(*1), 12(*1), 13(*1), 14(*2), 15(*48), 16(*1), 16000(*10), 190(*1), 230(*1), 3000(*33), 350(*1), 352(*1), 750(*5), 8409(*1), 90(*1), 912(*2), 95(*2), 99(*1), ..."
"http://rs.tdwg.org/dwc/terms/countryCode",70,12778,23,false,false,false,"AR(*1), AU(*11489), BR(*44), CO(*6), CR(*1), ES(*55), FR(*13), GH(*1), GR(*1), ID(*2), IT(*2), MA(*1), NF(*2), NZ(*91), PT(*729), SH(*1), SZ(*2), UY(*2), ZA(*127), ZZ(*34), ..."
