OldField,NewField,Shown,Language,Mapping
"http://rs.tdwg.org/dwc/terms/catalogNumber","http://rs.tdwg.org/dwc/terms/catalogNumber",,DBSCHEMA,TEXT
AbcdConcept0850,AbcdConcept0850,,DBSCHEMA,INTEGER
AbcdConcept1433,AbcdConcept1433,,DBSCHEMA,TEXT
"Altitude out of range","Altitude out of range",,DBSCHEMA,INTEGER
"Altitude value non-numeric","Altitude value non-numeric",,DBSCHEMA,INTEGER
"Altitude value supplied in feet","Altitude value supplied in feet",,DBSCHEMA,INTEGER
"http://rs.tdwg.org/dwc/terms/associatedMedia","http://rs.tdwg.org/dwc/terms/associatedMedia",,DBSCHEMA,TEXT
"http://rs.tdwg.org/dwc/terms/associatedOccurrences","http://rs.tdwg.org/dwc/terms/associatedOccurrences",,DBSCHEMA,TEXT
"Badly formed altitude","Badly formed altitude",,DBSCHEMA,INTEGER
"Basis of record badly formed","Basis of record badly formed",,DBSCHEMA,INTEGER
"Basis of record not supplied","Basis of record not supplied",,DBSCHEMA,INTEGER
"http://rs.tdwg.org/dwc/terms/basisOfRecord","http://rs.tdwg.org/dwc/terms/basisOfRecord",,DBSCHEMA,TEXT
"http://rs.tdwg.org/dwc/terms/class","http://rs.tdwg.org/dwc/terms/class",,DBSCHEMA,TEXT
"Collection code not recognised","Collection code not recognised",,DBSCHEMA,INTEGER
"http://rs.tdwg.org/dwc/terms/collectionCode","http://rs.tdwg.org/dwc/terms/collectionCode",,DBSCHEMA,TEXT
"Collector name unparseable","Collector name unparseable",,DBSCHEMA,INTEGER
"CONSERVATION_SIGNIFICANCE_YN","CONSERVATION_SIGNIFICANCE_YN",,DBSCHEMA,TEXT
"Coordinate precision and uncertainty transposed","Coordinate precision and uncertainty transposed",,DBSCHEMA,INTEGER
"Coordinate precision not valid","Coordinate precision not valid",,DBSCHEMA,INTEGER
"Coordinate uncertainty not specified","Coordinate uncertainty not specified",,DBSCHEMA,INTEGER
"Coordinate uncertainty not valid","Coordinate uncertainty not valid",,DBSCHEMA,INTEGER
"Coordinates are out of range for species","Coordinates are out of range for species",,DBSCHEMA,INTEGER
"Coordinates are transposed","Coordinates are transposed",,DBSCHEMA,INTEGER
"Coordinates centre of country","Coordinates centre of country",,DBSCHEMA,INTEGER
"Coordinates converted from UTM","Coordinates converted from UTM",,DBSCHEMA,INTEGER
"Coordinates converted to WGS84","Coordinates converted to WGS84",,DBSCHEMA,INTEGER
"Coordinates derived from verbatim coordinates","Coordinates derived from verbatim coordinates",,DBSCHEMA,INTEGER
"Coordinates dont match supplied country","Coordinates dont match supplied country",,DBSCHEMA,INTEGER
"Coordinates dont match supplied state","Coordinates dont match supplied state",,DBSCHEMA,INTEGER
"http://rs.tdwg.org/dwc/terms/coordinateUncertaintyInMeters","http://rs.tdwg.org/dwc/terms/coordinateUncertaintyInMeters",,DBSCHEMA,INTEGER
"http://rs.tdwg.org/dwc/terms/country","http://rs.tdwg.org/dwc/terms/country",,DBSCHEMA,TEXT
"Country inferred from coordinates","Country inferred from coordinates",,DBSCHEMA,INTEGER
"http://rs.tdwg.org/dwc/terms/countryCode","http://rs.tdwg.org/dwc/terms/countryCode",,DBSCHEMA,TEXT
"http://rs.tdwg.org/dwc/terms/county","http://rs.tdwg.org/dwc/terms/county",,DBSCHEMA,TEXT
COVERABUND,COVERABUND,,DBSCHEMA,TEXT
CREATION_DATE,CREATION_DATE,,DBSCHEMA,TEXT
"Cultivated / escapee","Cultivated / escapee",,DBSCHEMA,INTEGER
"Data are generalised","Data are generalised",,DBSCHEMA,INTEGER
dataset_version_date,dataset_version_date,,DBSCHEMA,TEXT
"http://rs.tdwg.org/dwc/terms/datasetID","http://rs.tdwg.org/dwc/terms/datasetID",,DBSCHEMA,TEXT
"http://rs.tdwg.org/dwc/terms/datasetName","http://rs.tdwg.org/dwc/terms/datasetName",,DBSCHEMA,TEXT
"Date precision invalid","Date precision invalid",,DBSCHEMA,INTEGER
DATE_ACCURACY,DATE_ACCURACY,,DBSCHEMA,TEXT
"http://rs.tdwg.org/dwc/terms/dateIdentified","http://rs.tdwg.org/dwc/terms/dateIdentified",,DBSCHEMA,TEXT
"http://rs.tdwg.org/dwc/terms/day","http://rs.tdwg.org/dwc/terms/day",,DBSCHEMA,INTEGER
"Day and month transposed","Day and month transposed",,DBSCHEMA,INTEGER
dcterms:accessRights,dcterms:accessRights,,DBSCHEMA,TEXT
dcterms:modified,dcterms:modified,,DBSCHEMA,TEXT
dcterms:rights,dcterms:rights,,DBSCHEMA,TEXT
"Decimal coordinates not supplied","Decimal coordinates not supplied",,DBSCHEMA,INTEGER
