fieldName,emptyCount,nonEmptyCount,uniqueValueCount,possiblePrimaryKey,possiblyInteger,possiblyFloatingPoint,sampleValues
"http://rs.tdwg.org/dwc/terms/basisOfRecord",3488,45172,5,false,false,false,"HumanObservation(*45046), Image(*9), MachineObservation(*1), MaterialSample(*12), PreservedSpecimen(*104)"
"http://purl.org/dc/terms/bibliographicCitation",48622,38,38,false,false,false,"B47639(*1), B50985(*1), B50986(*1), B50987(*1), B51770(*1), B51771(*1), B51772(*1), B52900(*1), B57378(*1), E02792(*1), E02797(*1), E09169(*1), E12100(*1), E12101(*1), G28085(*1), G28086(*1), G28087(*1), G28208(*1), G29938(*1), G39374(*1), ..."
"duplicate_field_http://purl.org/dc/terms/bibliographicCitation",97319,1,1,false,false,false,"X06834(*1)"
"http://rs.tdwg.org/dwc/terms/collectionID",48611,49,2,false,false,false,"urn:lsid:biocol.org:col:34932(*39), urn:lsid:biocol.org:col:34978(*10)"
"http://rs.tdwg.org/dwc/terms/collectionCode",48150,510,12,false,false,false,"BDRS(*73), Birds(*17), EBIRD(*95), EBIRD_CAN(*3), Eggs(*9), GeneticSamples(*12), OP(*141), Observations(*27), Ornithology(*78), RE(*7), SU(*47), Sounds(*1)"
"http://rs.tdwg.org/dwc/terms/dataGeneralizations",48660,0,0,false,false,false,
"http://rs.tdwg.org/dwc/terms/datasetID",48332,328,22,false,false,false,"OP(*152), Ornithology(*10), RE(*7), SU(*47), urn:anwc.csiro.au:collections:10(*1), urn:anwc.csiro.au:collections:13(*1), urn:anwc.csiro.au:collections:131(*2), urn:anwc.csiro.au:collections:16(*3), urn:anwc.csiro.au:collections:18(*4), urn:anwc.csiro.au:collections:25(*1), urn:anwc.csiro.au:collections:4(*11), urn:anwc.csiro.au:collections:68(*6), urn:anwc.csiro.au:collections:73(*2), urn:anwc.csiro.au:collections:74(*8), urn:lsid:bdrs.ala.org.au:Survey:267(*40), urn:lsid:bdrs.ala.org.au:Survey:286(*3), urn:lsid:bdrs.ala.org.au:Survey:289(*6), urn:lsid:bdrs.ala.org.au:Survey:329(*7), urn:lsid:bdrs.ala.org.au:Survey:45(*10), urn:lsid:bdrs.ala.org.au:Survey:72(*2), ..."
"http://rs.tdwg.org/dwc/terms/datasetName",47055,1605,25,false,false,false,"2004 Northern WA and NT September and October(*8), 2004 Southwest WA May and June(*2), 2015 Unprotected Areas Cape York Peninsula Queensland July(*2), ANWC general pre-Nagoya (12/10/2014)(*11), Bird Record Sheet(*7), Current Surveys(*4), Fauna Survey(*22), Kershaw, J.(*1), Kutt - NGRMG(*2), Neil Rankin Surveys(*10), Panboola Bioblitz 2014 Survey(*3), Panboola Wetland Bird Surveys(*40), Ragless, G.B.(*3), Seabirds and Shorebirds(*32), Seton, D.H.C.(*4), Species Record Form(*1), Stewart, D. Analogue Collection(*1), Waterbirds(*18), iNaturalist observations(*11), iNaturalist research-grade observations(*16), ..."
"http://rs.tdwg.org/dwc/terms/dynamicProperties",48660,0,0,false,false,false,
"http://rs.tdwg.org/dwc/terms/informationWithheld",48660,0,0,false,false,false,
"http://rs.tdwg.org/dwc/terms/institutionID",48193,467,11,false,false,false,"1(*185), 120(*13), 1267(*2), 1658(*1), 1821(*9), 1881(*183), 1882(*13), 199(*26), 220(*5), 2841(*20), NMV(*10)"
"http://rs.tdwg.org/dwc/terms/institutionCode",47884,776,21,false,false,false,"AM(*21), ANWC(*39), AUDCLO(*95), BDRS(*73), Department of Environment and Heritage Protection(*183), Department of Environment and Resource Management(*13), Department of National Parks, Sport and Racing(*13), Department of Science, Information Technology and Innovation(*9), EcoSmart Ecology(*20), Lockyer Catchment Association Inc.(*1), NMV(*10), Northern Gulf Resource Management Group(*2), Private Individual(*26), QVMAG(*10), Queensland Department of Environment and Resources Management (DERM)(*2), Queensland Naturalists' Club(*2), Queensland Parks and Wildlife Service(*185), SAMA(*37), WBM Oceanics Australia(*5), iNaturalist(*27), ..."
"http://purl.org/dc/terms/language",48648,12,1,false,false,false,"en(*12)"
"http://purl.org/dc/terms/license",48643,17,3,false,false,false,"http://creativecommons.org/licenses/by-nc/4.0/(*3), http://creativecommons.org/licenses/by/4.0/(*4), https://creativecommons.org/publicdomain/zero/1.0/legalcode(*10)"
