fieldName,emptyCount,nonEmptyCount,uniqueValueCount,possiblePrimaryKey,possiblyInteger,possiblyFloatingPoint,sampleValues
gbifid,0,730554,730554,true,true,true,"1159679252(*1), 1169950152(*1), 1178512602(*1), 1203807318(*1), 1207439859(*1), 1292195746(*1), 1293278426(*1), 1293303961(*1), 1293303965(*1), 1299584849(*1), 1354754491(*1), 1369331528(*1), 1373273170(*1), 1387968673(*1), 1399709330(*1), 1404467850(*1), 580129592(*1), 824117271(*1), 824181851(*1), 976448296(*1), ..."
v_abstract,730554,0,0,false,false,false,
v_accessrights,680219,50335,17,false,false,false,"(cc) by http://creativecommons.org/licenses/by-sa/3.0/(*37), CC0(*508), Free usage(*1107), Libre acceso(*882), Open Access, http://creativecommons.org/publicdomain/zero/1.0/; see Yale Peabody policies at: http://hdl.handle.net/10079/8931zqj(*19), Solo para uso no comercial(*43987), Sólo para uso no comercial(*2741), The user must cite the source when using this dataset. See also the metadata of this dataset.(*22), Usos no comerciales únicamente(*12), free to use(*1), http://biodiversity.ku.edu/research/university-kansas-biodiversity-institute-data-publication-and-use-norms(*41), http://vertnet.org/resources/norms.html(*467), http://www.inbo.be/en/norms-for-data-use(*50), http://www.vertnet.org/resources/norms.html(*39), https://www.fieldmuseum.org/field-museum-natural-history-conditions-and-suggested-norms-use-collections-data-and-images(*415), not-for-profit use only(*1), solo para uso no comercial(*6)"
v_accrualmethod,730554,0,0,false,false,false,
v_accrualperiodicity,730554,0,0,false,false,false,
v_accrualpolicy,730554,0,0,false,false,false,
v_alternative,730554,0,0,false,false,false,
v_audience,730554,0,0,false,false,false,
v_available,730554,0,0,false,false,false,
v_bibliographiccitation,681809,48745,57,false,false,false,"Altamirano González Ortega, M. A., Guzmán Hernández, J. y M. F. Martín Gómez. 2004. Obtención de la riqueza de aves y selección de especies susceptibles de monitoreo en la zona noroeste en el estado d...(*44), Arriaga Weiss, S. L. 2000. Composición y estructura de la ornitofauna de la reserva de la biósfera Pantanos de Centla. Universidad Juárez Autónoma de Tabasco. Bases de datos SNIB-CONABIO proyecto No. ...(*7), Bubulcus ibis (YPM ORN 006122)(*1), Bubulcus ibis (YPM ORN 010306)(*1), Bubulcus ibis (YPM ORN 010322)(*1), Bubulcus ibis (YPM ORN 044467)(*1), Bubulcus ibis (YPM ORN 048768)(*1), Bubulcus ibis (YPM ORN 103553)(*1), Bubulcus ibis ibis (CSJ-a:2956)(*1), Bubulcus ibis ibis (CSJ-a:2957)(*1), Garza Herrera, A. 2001. Aves de las reservas de la biosfera de Durango: La Michilía y Mapimí. Instituto de Ecología A.C. Centro Regional Durango. Bases de datos SNIB-CONABIO proyecto No. R228. México,...(*2), León Paniagua, L. 1999. Distribución geográfica de las aves y los mamíferos del estado de Querétaro. Universidad Nacional Autónoma de México. Facultad de Ciencias. Bases de datos SNIB-CONABIO. Proyect...(*1), Manterola y Piña, C., Labougle J. M., Enkerlin Hoeflich, E., Sánchez Ibarra, C. y E. Díaz Austria. 2005. Estudios previos justificativos para la declaratoria de áreas naturales protegidas en Tamaulipa...(*4), Morales Pérez, J. E. 2005. Vertebrados terrestres del Corredor Biológico Sierra Madre del Sur, Chiapas, México. Instituto de Historia Natural y Ecología. Dirección de Investigación Miguel Álvarez del ...(*56), Muñoz Alonso, L. A. y I. J. March Mifsut. 2003. Actualización y enriquecimiento de las bases de datos del proyecto de evaluación y análisis geográfico de la diversidad faunística de Chiapas. El Colegi...(*40), Navarro Sigüenza, A. G. y J. A. Meave de Castillo. 1998. Inventario de la biodiversidad de vertebrados terrestres de los Chimalapas, Oaxaca. Universidad Nacional Autónoma de México. Facultad de Cienci...(*68), Ornelas Rodríguez, J. F. 1999. Vocalizaciones de aves mexicanas en análisis biogeográficos y reconstrucción filogenética. Instituto de Ecología A.C. Bases de datos SNIB-CONABIO proyecto No. H028. Méxi...(*1), Ortiz-Pulido, R. 2006. Estudio de la avifauna y de las interacciones ave-planta en la Reserva de la Biosfera de la Barranca de Metztitlán Hidalgo, México. Universidad Autónoma del Estado de Hidalgo. B...(*1), Ramírez-Bastida, P. y A.G. Navarro-Sigüenza. 2012. Aves Acuáticas y Marinas de las Costas de Colima, Guerrero y Oaxaca. Facultad de Estudios Superiores Iztacala. Universidad Nacional Autónoma de Méxic...(*41), Villaseñor Gómez, L. E. y J. F. Villaseñor G. 2008. Avifauna de la Reserva de la Mariposa Monarca. Universidad Michoacana de San Nicolás de Hidalgo. Facultad de Biología. Bases de datos SNIB-CONABIO p...(*206), ..."
v_conformsto,730554,0,0,false,false,false,
v_contributor,730554,0,0,false,false,false,
v_coverage,730554,0,0,false,false,false,
v_created,730547,7,3,false,false,false,"2007-02-14(*2), 2009-02-05(*3), 2011-04-11(*2)"
v_creator,730554,0,0,false,false,false,
v_date,730554,0,0,false,false,false,
v_dateaccepted,730554,0,0,false,false,false,
v_datecopyrighted,730554,0,0,false,false,false,
v_datesubmitted,730554,0,0,false,false,false,
v_description,730554,0,0,false,false,false,
v_educationlevel,730554,0,0,false,false,false,
v_extent,730554,0,0,false,false,false,
v_format,730554,0,0,false,false,false,
v_hasformat,730554,0,0,false,false,false,
v_haspart,730554,0,0,false,false,false,
v_hasversion,730554,0,0,false,false,false,
v_identifier,77667,652887,652868,false,false,false,"OBS107981197(*1), OBS110237218(*1), OBS154807644(*1), OBS163260114(*1), OBS198151416(*1), OBS215071676(*1), OBS247415779(*1), OBS277265199(*1), OBS296073024(*1), OBS301359941(*1), OBS320310582(*1), OBS323334038(*1), OBS324495918(*1), OBS338346798(*1), OBS60552951(*1), OBS65001878(*1), OBS90691533(*1), OBS91485050(*1), urn:adu:sabap2:rid5337998(*1), urn:adu:sabap2:rid7264101(*1), ..."
v_instructionalmethod,730554,0,0,false,false,false,
