fieldName,emptyCount,nonEmptyCount,uniqueValueCount,possiblePrimaryKey,possiblyInteger,possiblyFloatingPoint,sampleValues
"http://rs.tdwg.org/dwc/terms/catalogNumber",20842,758372,745949,false,false,false,"1012523-71-4142433(*1), 1304707-71-544166(*1), 902335-71-1992825(*1), ABBBS1233380(*1), ABBBS1233381(*1), ABBBS1233382(*1), ABBBS1233383(*1), ABBBS1233384(*1), ABBBS1233385(*1), ABBBS1233386(*1), ABBBS1233387(*1), OBS110237218(*1), OBS163260114(*1), OBS198151416(*1), OBS215071676(*1), OBS277265199(*1), OBS301359941(*1), OBS338346798(*1), OBS60552951(*1), urn:adu:sabap2:rid7264101(*1), ..."
"http://rs.tdwg.org/dwc/terms/basisOfRecord",2894,776320,12,false,false,false,"HUMAN_OBSERVATION(*716954), HumanObservation(*45046), Image(*9), LITERATURE(*127), MACHINE_OBSERVATION(*69), MATERIAL_SAMPLE(*59), MachineObservation(*1), MaterialSample(*12), OBSERVATION(*7084), PRESERVED_SPECIMEN(*2584), PreservedSpecimen(*104), UNKNOWN(*4271)"
"http://purl.org/dc/terms/bibliographicCitation",730431,48783,95,false,false,false,"Altamirano González Ortega, M. A., Guzmán Hernández, J. y M. F. Martín Gómez. 2004. Obtención de la riqueza de aves y selección de especies susceptibles de monitoreo en la zona noroeste en el estado d...(*44), Arriaga Weiss, S. L. 2000. Composición y estructura de la ornitofauna de la reserva de la biósfera Pantanos de Centla. Universidad Juárez Autónoma de Tabasco. Bases de datos SNIB-CONABIO proyecto No. ...(*7), B51770(*1), B51771(*1), B51772(*1), B52900(*1), Bubulcus ibis (YPM ORN 006122)(*1), Bubulcus ibis (YPM ORN 010306)(*1), Bubulcus ibis (YPM ORN 010322)(*1), Bubulcus ibis (YPM ORN 044467)(*1), Bubulcus ibis (YPM ORN 048768)(*1), Bubulcus ibis ibis (CSJ-a:2957)(*1), E09169(*1), E12100(*1), E12101(*1), Morales Pérez, J. E. 2005. Vertebrados terrestres del Corredor Biológico Sierra Madre del Sur, Chiapas, México. Instituto de Historia Natural y Ecología. Dirección de Investigación Miguel Álvarez del ...(*56), Muñoz Alonso, L. A. y I. J. March Mifsut. 2003. Actualización y enriquecimiento de las bases de datos del proyecto de evaluación y análisis geográfico de la diversidad faunística de Chiapas. El Colegi...(*40), Navarro Sigüenza, A. G. y J. A. Meave de Castillo. 1998. Inventario de la biodiversidad de vertebrados terrestres de los Chimalapas, Oaxaca. Universidad Nacional Autónoma de México. Facultad de Cienci...(*68), Ornelas Rodríguez, J. F. 1999. Vocalizaciones de aves mexicanas en análisis biogeográficos y reconstrucción filogenética. Instituto de Ecología A.C. Bases de datos SNIB-CONABIO proyecto No. H028. Méxi...(*1), Ramírez-Bastida, P. y A.G. Navarro-Sigüenza. 2012. Aves Acuáticas y Marinas de las Costas de Colima, Guerrero y Oaxaca. Facultad de Estudios Superiores Iztacala. Universidad Nacional Autónoma de Méxic...(*41), ..."
"http://rs.tdwg.org/dwc/terms/collectionID",665537,113677,165,false,false,false,"3494(*1), 3631(*1), 4223(*1), 757(*2), 96(*2), CVST(*1), Inventory_data_CeSRN_1009(*1), Inventory_data_CeSRN_139(*1), Inventory_data_CeSRN_259(*1), Inventory_data_CeSRN_379(*1), Inventory_data_CeSRN_409(*1), Inventory_data_CeSRN_499(*1), Inventory_data_CeSRN_529(*1), Inventory_data_CeSRN_649(*1), Inventory_data_CeSRN_769(*1), YTDR10014(*1), http://grbio.org/cool/v9yz-imvc(*41), urn:lsid:biocol.org:col:34966(*42), urn:lsid:iict.pt:CZ:CZ000007554(*1), www.acuaticas.org(*2730), ..."
"http://rs.tdwg.org/dwc/terms/collectionCode",52560,726654,54283,false,false,false,"1013621(*1), 1013622(*1), 1013623(*1), 1013624(*1), 1204360(*1), 1204361(*1), 1204362(*1), 1204364(*1), 1204367(*1), 1204368(*1), 1204369(*1), 285551(*1), 285553(*1), 285555(*1), 285559(*1), 800305(*1), 800307(*1), 800309(*1), 800310(*1), 800315(*1), ..."
"http://rs.tdwg.org/dwc/terms/dataGeneralizations",778706,508,1,false,false,false,"Coordinates generalizated at central point of UTM 1x1 km(*508)"
"http://rs.tdwg.org/dwc/terms/datasetID",774957,4257,764,false,false,false,"02bf08a66f65463c9e49b13b46c01b6b(*2), 0545a926a1fa0a2d7cc0ad08a7c341ba(*2), 16088c45f1a5a19e1cff5d8b9816249a(*1), 237af69cdf0ddab806283fcbebf7a4f3(*1), 2f2d1909f682676949c80dd52d9e7b09(*1), 3cd4b2c702afd3e5d7f165a65b72e197(*1), 4b01c306c90e558a353780b382bfbd29(*1), 6587c22e9aad0356a1a31bcd27495317(*1), 6d5cdcdf494888e2abd99addf4659c39(*1), 78f9a2bdcb0fef90ade14c3fad29ed9b(*1), 7b75c78033a23421acdf6a6a13ece191(*2), 83e8ac3dba88aab68efc43733f50b246(*1), 93bbaef9826bad0451fb12930b1c4b79(*1), b4e244cd1ffb11462498a5b965563cc0(*1), becf6e3d1ad7813147905101de0442f5(*2), c5f536bcf41002715484936306f56930(*1), d1ead051c6d9356de515d2a5589f1f8b(*1), e52c8cce5fd675d271770572f4284f7e(*1), e94d3bf360df788869a022620b722351(*1), ebebc1406501fcceb4395b2df3f479c1(*1), ..."
"http://rs.tdwg.org/dwc/terms/datasetName",654867,124347,113,false,false,false,"02. Multi-species Survey(*2), 2004 Northern WA and NT September and October(*8), 2004 Southwest WA May and June(*2), AVES CARIBE 2007-2009(*14), Aves acuáticas y marinas en las costas de Colima, Guerrero y Oaxaca(*41), Avifauna de la Reserva de la Mariposa Monarca(*206), Broedvogels - Atlas of the breeding birds in Flanders 2000-2002(*1), Colección de Aves de la Universidad del Valle(*25), Cowan Tetrapod Collection - Avian(*6), Hamaarag(*24), Inventario de la biodiversidad de vertebrados terrestres de los Chimalapas, Oaxaca(*68), Listado de aves del humedal El Cocal(*1), Listado de aves del humedal El Conchal(*1), Listado de aves del humedal La Herradura(*1), Listado de aves del humedal Timbique(*1), Neil Rankin Surveys(*10), Oklahoma Collection of Genomic Resources(*3), Patrones de diversidad florística y faunística del área focal Ixcan, selva Lacandona, Chiapas(*4), Southern African Bird Atlas Project 2(*64831), University of Kansas Biodiversity Institute Ornithology Collection(*41), ..."
"http://rs.tdwg.org/dwc/terms/dynamicProperties",778161,1053,287,false,false,false,"Distrito de Riego: 9999 Estacionalidad / Estacionalidad: Residente reproductor Fechas  de Observación / Fecha 02: 20-10-1999 Fechas  de Observación / Fecha O1: 19-10-1999 Otros Datos Ejemplar / Abunda...(*2), Distrito de Riego: 9999 Estacionalidad / Estacionalidad: Residente reproductor Fechas  de Observación / Fecha O1: 29-09-2000 Otros Datos Ejemplar / Abundancia: Común(*2), Distrito de Riego: 9999 Estacionalidad / Estacionalidad: Residente reproductor Fechas  de Observación / Fecha O1: 30-09-2000 Otros Datos Ejemplar / Abundancia: Común(*2), MAREA - Mareas subiendo y mareas bajando: BAJA PLUMAJE: no reproductivo TEMPERATURA ( C) AGUA - En grados centígrados: 23.4 TEMPERATURA ( C) AMBIENTE - En grados centígrados: 27.3(*1), Otras tablas / taxo completa / PRESENCIA_MEXICO: REGISTRADO Otras tablas / taxo completa / TAXON SEGUN AOU (1983): Aves_Ciconiiformes_Ardeidae_Bubulcus_Bubulcus ibis Otras tablas / taxo completa / TAX...(*163), TipoVegetacion / Bosque de Encino-Pino - Tipo Vegetacion - González Medrano Distrito de Riego: NO DISPONIBLE(*1), TipoVegetacion / Cuerpo de agua - Inventario Nacional Forestal  (SARH)(*6), TipoVegetacion / Matorral subtropical - Inventario Nacional Forestal  (SARH)(*1), TipoVegetacion / Pastizal Inducido - González M Otros Datos Ejemplar / Fecha captura ejemplar: 05/11/1998 10:44:00 a.m.(*2), TipoVegetacion / Pastizal inducido - Inventario Nacional Forestal  (SARH)(*11), TipoVegetacion / Selva alta perennifolia - Miranda y  Otros campos / CalifDeLaDeterminacion: Totalmente confiable Otros campos / NumeroDeCopias: 0(*4), TipoVegetacion / Selva baja caducifolia - Miranda y Hernández X. (1963) Otras tablas / Censo_T / Fenologia: 1 Otras tablas / Censo_T / HoraFinal: 01:00:00 p.m. Otras tablas / Censo_T / HoraInicial: 07...(*2), TipoVegetacion / Selva baja caducifolia - Miranda y Hernández X. (1963) Otras tablas / Censo_T / Fenologia: 1 Otras tablas / Censo_T / HoraFinal: 09:32:00 a.m. Otras tablas / Censo_T / HoraInicial: 09...(*2), TipoVegetacion / Selva baja caducifolia - Miranda y Hernández X. (1963) Otras tablas / Censo_T / Fenologia: 1 Otras tablas / Censo_T / HoraFinal: 10:04:00 a.m. Otras tablas / Censo_T / HoraInicial: 07...(*4), TipoVegetacion / Selva mediana perennifolia - González M Otros Datos Ejemplar / Fecha captura ejemplar: 06/10/1998 09:20:29 a.m.(*2), { ""solr_long_lat"": ""-70.1500,18.5500"" }(*1), { ""solr_long_lat"": ""-90.5167,30.3333"" }(*1), {""gonads"":""testes 6 x 1.5 mm"", ""weight"":""285 g"" }(*1), {""kindofobject"": ""Skin"", ""recordtype"": ""Bird Group Part"", ""parttype"": ""Skin"", ""created"": ""2014-06-17"", ""relationshipofresource"": ""Parts"", ""centroid"": false, ""subdepartment"": ""Aves"", ""cultivated"": ""Fal...(*1), {""kindofobject"": ""skin"", ""recordtype"": ""Bird Group Part"", ""parttype"": ""Skin"", ""created"": ""2007-05-28"", ""relationshipofresource"": ""Parts"", ""centroid"": false, ""subdepartment"": ""Aves"", ""registrationcode""...(*1), ..."
"http://rs.tdwg.org/dwc/terms/informationWithheld",768015,11199,58,false,false,false,"Coordinate uncertainty increased to 27269m to protect threatened taxon(*2), Coordinate uncertainty increased to 27458m to protect threatened taxon(*3), Coordinate uncertainty increased to 27646m to protect threatened taxon(*1), Coordinate uncertainty increased to 27923m to protect threatened taxon(*1), Coordinate uncertainty increased to 28105m to protect threatened taxon(*2), Coordinate uncertainty increased to 28136m to protect threatened taxon(*2), Coordinate uncertainty increased to 28225m to protect threatened taxon(*1), Coordinate uncertainty increased to 28635m at the request of the observer(*1), Coordinate uncertainty increased to 28748m to protect threatened taxon(*2), Coordinate uncertainty increased to 28832m to protect threatened taxon(*1), Coordinate uncertainty increased to 28998m to protect threatened taxon(*2), Coordinate uncertainty increased to 29160m to protect threatened taxon(*1), Coordinate uncertainty increased to 30756m at the request of the observer(*1), Coordinate uncertainty increased to 30803m at the request of the observer(*1), Coordinate uncertainty increased to 30833m at the request of the observer(*1), Coordinate uncertainty increased to 31250m at the request of the observer(*1), Medidas, sexo, número de registro(*6), More information can be obtained from the Data Provider.(*1107), mask original field number; mask preparator; mask collector; mask unformatted measurements; mask specimen remarks(*1), precise location information not given - country only(*7), ..."
