fieldName,emptyCount,nonEmptyCount,uniqueValueCount,possiblePrimaryKey,possiblyInteger,possiblyFloatingPoint,sampleValues
"http://rs.tdwg.org/dwc/terms/basisOfRecord",0,413,3,false,false,false,"HumanObservation(*399), Image(*4), PreservedSpecimen(*10)"
"http://purl.org/dc/terms/bibliographicCitation",413,0,0,false,false,false,
"duplicate_field_http://purl.org/dc/terms/bibliographicCitation",413,0,0,false,false,false,
"http://rs.tdwg.org/dwc/terms/collectionID",412,1,1,false,false,false,"urn:lsid:biocol.org:col:34978(*1)"
"http://rs.tdwg.org/dwc/terms/collectionCode",400,13,3,false,false,false,"Entomology(*2), Invertebrates(*8), Observations(*3)"
"http://rs.tdwg.org/dwc/terms/dataGeneralizations",413,0,0,false,false,false,
"http://rs.tdwg.org/dwc/terms/datasetID",412,1,1,false,false,false,"Entomology(*1)"
"http://rs.tdwg.org/dwc/terms/datasetName",410,3,2,false,false,false,"iNaturalist observations(*2), iNaturalist research-grade observations(*1)"
"http://rs.tdwg.org/dwc/terms/dynamicProperties",413,0,0,false,false,false,
"http://rs.tdwg.org/dwc/terms/informationWithheld",413,0,0,false,false,false,
"http://rs.tdwg.org/dwc/terms/institutionID",412,1,1,false,false,false,"NMV(*1)"
"http://rs.tdwg.org/dwc/terms/institutionCode",400,13,4,false,false,false,"AM(*1), NMV(*1), QVMAG(*8), iNaturalist(*3)"
"http://purl.org/dc/terms/language",412,1,1,false,false,false,"en(*1)"
"http://purl.org/dc/terms/license",412,1,1,false,false,false,"https://creativecommons.org/publicdomain/zero/1.0/legalcode(*1)"
"http://purl.org/dc/terms/modified",332,81,15,false,false,false,"2012-02-19(*65), 2016-01-26(*1), 2016-03-07(*1), 2016-05-03(*1), 2016-06-11(*1), 2016-07-12(*1), 2016-07-13(*1), 2016-07-22(*1), 2016-07-29(*2), 2017-03-01(*1), 2017-03-09(*1), 2017-03-11(*1), 2017-03-15(*1), 2017-04-01(*2), 2017-04-07(*1)"
"http://rs.tdwg.org/dwc/terms/ownerInstitutionCode",412,1,1,false,false,false,"NMV(*1)"
"duplicate_field_basisOfRecord",0,413,3,false,false,false,"HumanObservation(*399), Image(*4), PreservedSpecimen(*10)"
