fieldName,emptyCount,nonEmptyCount,uniqueValueCount,possiblePrimaryKey,possiblyInteger,possiblyFloatingPoint,sampleValues
"http://rs.tdwg.org/dwc/terms/catalogNumber",0,3247,3247,true,true,true,"1088968094(*1), 1213011038(*1), 1238676736(*1), 1329770914(*1), 1416199950(*1), 1431455983(*1), 1459186489(*1), 923855857(*1), 92784749(*1), 92784758(*1), 92784759(*1), 92784760(*1), 92784761(*1), 92784762(*1), 92784763(*1), 92784764(*1), 92784765(*1), 92784766(*1), 92784767(*1), 92784768(*1), ..."
v_abstract,3247,0,0,false,false,false,
v_accessrights,2462,785,3,false,false,false,"Free usage(*757), https://www.fieldmuseum.org/about/copyright-information(*6), not-for-profit use only(*22)"
v_accrualmethod,3247,0,0,false,false,false,
v_accrualperiodicity,3247,0,0,false,false,false,
v_accrualpolicy,3247,0,0,false,false,false,
v_alternative,3247,0,0,false,false,false,
v_audience,3247,0,0,false,false,false,
v_available,3247,0,0,false,false,false,
v_bibliographiccitation,2441,806,68,false,false,false,"Gabriel Tjernberg(*1), Henrik Weibull(*1), Jan Edelsjö(*1), Johan Nilsson(*1), Krister Larsson(*3), Sven Hellqvist(*4), Vespula germanica (Fabricius, 1793) (NMR 997000003132)(*1), Vespula germanica (Fabricius, 1793) (NMR 997000003137)(*1), Vespula germanica (Fabricius, 1793) (NMR 997000003138)(*1), Vespula germanica (Fabricius, 1793) (NMR 997000003140)(*1), Vespula germanica (Fabricius, 1793) (NMR 997000003144)(*1), Vespula germanica (Fabricius, 1793) (NMR 997000003152)(*1), Vespula germanica (Fabricius, 1793) (NMR 997000013153)(*1), Vespula germanica (Fabricius, 1793) (NMR 997000016789)(*1), Vespula germanica (Fabricius, 1793) (NMR 997000017762)(*1), Vespula germanica (Fabricius, 1793) (NMR 997000017766)(*1), Vespula germanica (Fabricius, 1793) (NMR 997000028403)(*1), Vespula germanica (Fabricius, 1793) (NMR 997000028404)(*1), Vespula germanica (Fabricius, 1793) (NMR 997000030198)(*1), Vespula germanica (Fabricius, 1793) (NMR 997000031502)(*1), ..."
v_conformsto,3247,0,0,false,false,false,
v_contributor,3247,0,0,false,false,false,
v_coverage,3247,0,0,false,false,false,
v_created,3247,0,0,false,false,false,
v_creator,3247,0,0,false,false,false,
v_date,3247,0,0,false,false,false,
v_dateaccepted,3247,0,0,false,false,false,
v_datecopyrighted,3247,0,0,false,false,false,
v_datesubmitted,3247,0,0,false,false,false,
v_description,3247,0,0,false,false,false,
v_educationlevel,3247,0,0,false,false,false,
v_extent,3247,0,0,false,false,false,
v_format,3247,0,0,false,false,false,
v_hasformat,3247,0,0,false,false,false,
v_haspart,3247,0,0,false,false,false,
v_hasversion,3247,0,0,false,false,false,
