fieldName,emptyCount,nonEmptyCount,uniqueValueCount,possiblePrimaryKey,possiblyInteger,possiblyFloatingPoint,sampleValues
"http://rs.tdwg.org/dwc/terms/catalogNumber",49,3611,3611,false,false,false,"1088968094(*1), 1213011038(*1), 1238676736(*1), 1329770914(*1), 1416199950(*1), 1431455983(*1), 1459186489(*1), 923855857(*1), 92784749(*1), 92784758(*1), 92784759(*1), 92784760(*1), 92784761(*1), 92784762(*1), 92784763(*1), 92784764(*1), 92784765(*1), 92784766(*1), 92784767(*1), 92784768(*1), ..."
"http://rs.tdwg.org/dwc/terms/basisOfRecord",0,3660,8,false,false,false,"HUMAN_OBSERVATION(*1675), HumanObservation(*399), Image(*4), LIVING_SPECIMEN(*2), OBSERVATION(*191), PRESERVED_SPECIMEN(*732), PreservedSpecimen(*10), UNKNOWN(*647)"
"http://purl.org/dc/terms/bibliographicCitation",2854,806,68,false,false,false,"Gabriel Tjernberg(*1), Henrik Weibull(*1), Jan Edelsjö(*1), Johan Nilsson(*1), Krister Larsson(*3), Sven Hellqvist(*4), Vespula germanica (Fabricius, 1793) (NMR 997000003132)(*1), Vespula germanica (Fabricius, 1793) (NMR 997000003137)(*1), Vespula germanica (Fabricius, 1793) (NMR 997000003138)(*1), Vespula germanica (Fabricius, 1793) (NMR 997000003140)(*1), Vespula germanica (Fabricius, 1793) (NMR 997000003144)(*1), Vespula germanica (Fabricius, 1793) (NMR 997000003152)(*1), Vespula germanica (Fabricius, 1793) (NMR 997000013153)(*1), Vespula germanica (Fabricius, 1793) (NMR 997000016789)(*1), Vespula germanica (Fabricius, 1793) (NMR 997000017762)(*1), Vespula germanica (Fabricius, 1793) (NMR 997000017766)(*1), Vespula germanica (Fabricius, 1793) (NMR 997000028403)(*1), Vespula germanica (Fabricius, 1793) (NMR 997000028404)(*1), Vespula germanica (Fabricius, 1793) (NMR 997000030198)(*1), Vespula germanica (Fabricius, 1793) (NMR 997000031502)(*1), ..."
"http://rs.tdwg.org/dwc/terms/collectionID",3330,330,159,false,false,false,"1064(*1), 1066(*1), 12674(*1), 878(*1), FA2815-7(*1), FA3676-3(*1), FA3736-4(*1), FA3966-3(*4), FA5555-3(*2), FA5837-3(*1), FA5916-3(*2), FA6362-2(*1), FA6366-2(*1), FA7723-5(*1), FA8173-5(*1), FA8203-5(*1), FA9090-2(*1), JA1868(*1), SH 5686(*1), https://bison.usgs.gov/ipt/resource?r=usgs-pwrc-biml(*42), ..."
"http://rs.tdwg.org/dwc/terms/collectionCode",1204,2456,129,false,false,false,"31752(*4), 7437(*1), 7439(*4), Am Moosangerweg(*1), Brander Wald (Stolberg)(*1), Danielsberg (Mölltal, Kärnten)(*1), Entomology(*12), Insect Collection(*33), Kochertgraben II(*1), Krittenhorster Wald (Ostkilver)(*1), Laubenheimer Bodenheimer Ried - von Stromtalwiesen(*1), NMR Insecta(*49), Rund ums Schulgelände(*1), Streuobstwiese RSG (Cham)(*1), USGS PWRC - Native Bee Inventory and Monitoring Lab - US-CA-MX - Bees(*40), WA00000500000035(*3), Wiesenbiotop am Wasserturm(*1), insects-uiterwaarden-toreconuit(*1), user: 1955(*1), user: 4154(*1), ..."
"http://rs.tdwg.org/dwc/terms/dataGeneralizations",3660,0,0,false,false,false,
"http://rs.tdwg.org/dwc/terms/datasetID",2539,1121,17,false,false,false,"100012(*83), 6(*106), BiodiversityRecordsFromIreland(*3), Entomology(*1), GA000426(*23), GA000489(*1), GA000495(*5), GA000544(*2), GA000550(*12), GA000623(*63), GA000927(*3), GA001349(*8), GA001423(*19), IrelandsBioBlitz(*1), http://dataset.canadensys.net/lemq-specimens(*28), insects-13-apr-2017(*6), urn:lsid:swedishlifewatch.se:DataProvider:1(*757)"
"http://rs.tdwg.org/dwc/terms/datasetName",3333,327,14,false,false,false,"Aculeata FØ tom 2010(*6), Artsprosjekt_44-13_ACUNOR 2016(*9), Biodiversity Institute of Ontario (BIOUG)(*1), Ghent university - Zoology Museum - Insect Collection(*3), Insect Collection from the Museu Nacional de História Natural e da Ciência, Universidade de Lisboa, Portugal-vs1-Set2014(*22), Lyman Entomological Museum (LEMQ)(*28), Specimen: insect(*106), USGS PWRC - Native Bee Inventory and Monitoring Lab (BIML)(*42), USGS PWRC - Native Bee Inventory and Monitoring Lab - US-CA-MX - Bees(*40), USGS PWRC - Native Bee Inventory and Monitoring Lab - World - Bees(*1), University of Guelph, Centre for Biodiversity Genomics (BIOUG)(*2), iNaturalist observations(*2), iNaturalist research-grade observations(*64), |(*1)"
"http://rs.tdwg.org/dwc/terms/dynamicProperties",3651,9,8,false,false,false,"County=Westmeath;Vice-county=Westmeath(*2), County=Wexford;Vice-county=Wexford(*1), Vice-county=Dublin;County=Dublin;Survey name=Ireland's BioBlitz 2014 - Howth Head;Common name=German Wasp(*1), {""created"": ""2003-05-07"", ""centroid"": false, ""recordtype"": ""Specimen"", ""determinations"": {""name"": [""Vespula germanica (Fabricius, 1793)""]}, ""gbifid"": 1055458042}(*1), {""created"": ""2003-05-07"", ""centroid"": false, ""recordtype"": ""Specimen"", ""determinations"": {""name"": [""Vespula germanica (Fabricius, 1793)""]}, ""gbifid"": 1056120800}(*1), {""created"": ""2003-05-07"", ""centroid"": false, ""recordtype"": ""Specimen"", ""determinations"": {""name"": [""Vespula germanica (Fabricius, 1793)""]}, ""gbifid"": 1056209358}(*1), {""created"": ""2003-05-07"", ""centroid"": false, ""recordtype"": ""Specimen"", ""determinations"": {""name"": [""Vespula germanica (Fabricius, 1793)""]}, ""gbifid"": 1056303632}(*1), {""created"": ""2003-05-07"", ""centroid"": false, ""recordtype"": ""Specimen"", ""determinations"": {""name"": [""Vespula germanica (Fabricius, 1793)""]}, ""gbifid"": 1057519812}(*1)"
"http://rs.tdwg.org/dwc/terms/informationWithheld",2899,761,5,false,false,false,"Coordinate uncertainty increased to 27801m at the request of the observer(*1), Coordinate uncertainty increased to 27893m at the request of the observer(*1), Coordinate uncertainty increased to 28015m at the request of the observer(*1), Coordinates hidden at the request of the observer(*1), More information can be obtained from the Data Provider.(*757)"
